goodsID,goodsCode,leFoxID,chineseBrandName,englishBrandName,goodsName,goodsSubName,backstageCategory,price,originalPrice,costPrice,buyPrice,lowestPrice,lowestPriceText,stock,onSale,purchaseTypeId,purchaseModeType,timestamp,source,actualPrice,msrp
6972e756891e960001518c01,20113414,5037898,雅诗兰黛,ESTÉE LAUDER,绝色由我缎光唇膏 绒雾小金管,333 水光枫叶 PERSUASIVE/3.5g,美妆护肤-面部彩妆-口红,253,305.0,305.0,253,,,9999,True,0,,,pvg,253.0,305.0
6972e70e3ae2ea00019050eb,20113292,5036676,娇韵诗,CLARINS,沁润奇肌保湿轻盈面霜,50ml,美妆护肤-面部护肤-乳液面霜,285,415.0,415.0,255,,,9999,True,0,,,cream,255.0,415.0
694cc2ba5b103b0001aea4c9,20112114,4873258,娇韵诗,CLARINS,三檀舒颜护理油,30ml,美妆护肤-面部护肤-其它面部护肤,400,,400.0,257,,,9999,True,0,,,pvg,257.0,400.0
694cc2019cc20b00019bc5e4,20108414,4869574,祖·玛珑,JO MALONE LONDON,维他命E护手霜,100ml,个护家清-身体护理-手部护理,280,483.0,483.0,257,,,9999,True,0,,,pvg,257.0,483.0
694cc2e956e4f1000101bfca,20113323,4874211,娇韵诗,CLARINS,天然调和身体护理油,100ml,个护家清-身体护理-润肤油,314,,314.0,257,,,9999,True,0,,,pvg,257.0,314.0
694cc3d05b103b0001df3810,20117777,4878709,汤姆福特,TOM FORD,幻魅亮泽唇膏,152  过瘾  ROSE CORSET/0.9g,美妆护肤-面部彩妆-口红,257,319.0,319.0,257,,,9999,True,0,,,pvg,257.0,319.0
694cc2cd9cc20b00019beae7,20112572,4873656,雅诗兰黛,ESTÉE LAUDER,第五代小棕瓶熬夜眼霜  紧致 提拉 淡化黑眼圈,15ml,美妆护肤-面部护肤-眼霜/眼部精华,480,323.0,323.0,258,,,9999,True,0,,,eye,258.0,480.0
694cc4229cc20b00019c20e1,20119479,4880415,梅森马吉拉,Maison Margiela,慵懒周末沐浴啫喱 400ml,400ml,个护家清-身体护理-沐浴露,260,350.0,350.0,260,,,9999,True,0,,,bodywash,260.0,350.0
694cc40f9cc20b00019c1d38,20119489,4880038,纪梵希,GIVENCHY,心无禁忌沐浴油,200ml,个护家清-身体护理-沐浴露,260,417.0,417.0,260,,,9999,True,0,,,bodywash,260.0,417.0
694cc3895b103b0001df2d89,20116177,4877332,娇韵诗,CLARINS,净透化妆水,400ml,美妆护肤-面部护肤-爽肤水/化妆水,261,390.0,390.0,261,,,9999,True,0,,,pvg,261.0,390.0
694cc37df52aff0001126355,20116168,4877040,娇韵诗,CLARINS,保湿化妆水,400ml,美妆护肤-面部护肤-爽肤水/化妆水,261,390.0,390.0,261,,,9999,True,0,,,pvg,261.0,390.0
694cc2cb9cc20b00019bea58,20112483,4873605,欧珑,Atelier Cologne,莹润身体乳无极乌龙,200ml,个护家清-身体护理-润肤乳,265,355.0,355.0,265,,,9999,True,0,,,bodylotion,265.0,355.0
694cc2b35b103b0001aea3d6,20111852,4873131,娇韵诗,CLARINS,焕白透亮淡斑乳液,75ml,美妆护肤-面部护肤-乳液面霜,333,455.0,455.0,265,,,9999,True,0,,,pvg,265.0,455.0
694cc3559cc20b00019c0079,20115257,4876326,馥蕾诗,FRESH,莲花青春焕采眼霜,15ml,美妆护肤-面部护肤-眼霜/眼部精华,265,390.0,390.0,265,,,9999,True,0,,,eye,265.0,390.0
