productId,brandId,productName,price,originalPrice,vipPrice,priceDiscount,activityStock,discountInfo,promotionInfo
p15865720,10162,LANCOME蘭蔻淨澈煥膚亮白霜50ml【有效期至：2027年6月】,441,780,0.0,5.7,2,HK$441 活動價,
p15887949,10134,Gucci古馳煉金士花園月之凝香水50ML,1950,1950,,10.0,0,,
p15736318,10123,ESTEE LAUDER  雅詩蘭黛 Re-Nutriv Ultimate Lift Regenerating  Youth 白金級花菁萃緊顏精華滋養面霜 50ml,2755,2755,,10.0,1,優惠價6.8折起,滿2500元享6.8折
p15872012,10169,L'OCCITANE歐舒丹甜扁桃味沐浴綿綿霜-200ML,205,205,,10.0,0,,
p15796910,14721,JO MALONE祖瑪瓏滿室幽香香薰-橙花香型-165ML,770,770,,10.0,1,優惠價6.8折起,滿2500元享6.8折
p15738745,10123,ESTEE LAUDER  雅詩蘭黛 Re-Nutriv Ultimate Lift Regenerating  Youth 白金級花菁萃緊顏眼部精華滋養霜 15ml,1075,1075,,10.0,1,優惠價6.8折起,滿2500元享6.8折
p16038764,10169,L’occitane歐舒丹甜扁桃味沐浴油500ml,405,405,,10.0,0,優惠價6.8折起,滿2500元享6.8折
p15735388,14572,LA ROCHE POSAY理膚泉特安潔面泡沫/洗面奶 125ml,240,240,,10.0,1,優惠價6.8折起,滿2500元享6.8折
p15892318,13105,FRESH馥蕾詩紅茶緊致潤養日夜面膜套裝（100ml + 100ml）,982,982,,10.0,2,,
p15889829,31847,"Burberry""博柏利高定香氛-沙漠玫瑰100ml",1014,1014,,10.0,1,,
p15952296,31847,BURBERRY博柏利太陽鏡 0BE4398D30018G50,2990,2990,,10.0,0,優惠價6.8折起,滿2500元享6.8折
p15897677,10101,Clarins嬌韻詩植物精油芳香沐浴露-200ML,169,169,,10.0,1,,
p15743292,31847,BURBERRY  博伯利駿勇之心男士淡香水 50ml/100ml,420,420,,10.0,1,,
p15946811,31847,Burberry博柏利英雄套装100ml+75ml,582,582,,10.0,1,,
p15739948,31886,CPB 肌膚之鑰淨采潔面膏（濕潤型） 125ml,480,480,,10.0,0,,
p15765553,13105,fresh馥蕾詩大豆精萃卸妝潔面凝露 250ml,276,460,0.0,6.0,2,HK$276 搶購價,
p15737041,10213,SHISEIDO資生堂肌活淨顏潔面膏/洗面奶 125ml-外包裝輕微折損介意慎拍,350,350,,10.0,1,優惠價6.8折起,滿2500元享6.8折
p15742110,10162,LANCOME蘭蔻淨澈煥膚潔面乳 125ml,400,400,,10.0,2,優惠價6.8折起,滿2500元享6.8折
p15830841,10123,ESTEE LAUDER雅詩蘭黛特潤舒緩修護精華液 20ml,366,610,0.0,6.0,2,HK$366 搶購價,
p15867854,31851,CHLOE蔻依荒木玫瑰香調香水50ml,1190,1190,,10.0,1,優惠價6.8折起,滿2500元享6.8折
p15737242,14721,JO MALONE祖·瑪瓏香氛蠟燭(紅玫瑰香型),327,555,0.0,5.9,1,HK$327 活動價,
p15849733,13105,fresh馥蕾詩大豆精萃卸妝潔顏雙支裝150ml*2,620,620,,10.0,2,優惠價6.8折起,滿2500元享6.8折
p15840166,31851,Chloe蔻依仙境花園系列濃香氛-大馬士革玫瑰,1105,1105,,10.0,1,,
p15866236,10174,MAC魅可細緻雙頭眉筆,112,205,0.0,5.5,2,HK$112起 活動價,
