productId,sku,brandName,brandEnName,productName,price,originalPrice,discount,reducePrice,futurePrice,activityStock,stock,sellNum,limitNum,validStart,exchangePrice,hiddenPrice,specialSale,vipPrice,priceType
p15894570,E1591928,凱特·絲蓓,KATE SPADE,KATE SPADE凱特·絲蓓太陽鏡2065427RM57HA,650,1320.0,4.9,670.0,,1,1,,0,2026-07-31 00:00:00,605.75,,False,0.0,3
p15894573,E1591872,凱特·絲蓓,KATE SPADE,KATE SPADE凱特·絲蓓太陽鏡206535807559O,573,1170.0,4.9,597.0,,1,1,,0,2026-07-31 00:00:00,533.99,,False,0.0,3
p15894576,E1678354,凱特·絲蓓,KATE SPADE,KATE SPADE凱特·絲蓓太陽鏡 2065472OH57HA,649,1320.0,4.9,671.0,,1,1,,0,2026-07-31 00:00:00,604.82,,False,0.0,3
p15941385,F119396,義大利威斯汀,義大利威斯汀,義大利威斯汀-灰甲易 15ml,77,158.0,4.9,81.0,,7,7,18,0,2026-07-31 00:00:00,71.76,,False,0.0,3
p15894579,E1591862,寶麗萊,Polaroid,POLAROID寶麗來太陽鏡20645608A52M9,287,590.0,4.9,303.0,,1,1,3,0,2026-07-31 00:00:00,267.46,,False,0.0,3
p15809676,C106013,雪肌精,SEKKISEI,SEKKISEI  雪肌精逸透柔潤勻亮凝霜盒,35,71.0,4.9,36.0,,2,2,6,5,2026-07-31 00:00:00,32.62,,False,0.0,3
p15895011,E1591932,凱特·絲蓓,KATE SPADE,KATE SPADE凱特·絲蓓太陽鏡206542807579O,650,1320.0,4.9,670.0,,1,1,,0,2026-07-31 00:00:00,605.75,,False,0.0,3
p15894570,E1591928,凱特·絲蓓,KATE SPADE,KATE SPADE凱特·絲蓓太陽鏡2065427RM57HA,650,1320.0,4.9,670.0,,1,1,,0,2026-07-31 00:00:00,605.75,,False,0.0,3
p15894573,E1591872,凱特·絲蓓,KATE SPADE,KATE SPADE凱特·絲蓓太陽鏡206535807559O,573,1170.0,4.9,597.0,,1,1,,0,2026-07-31 00:00:00,533.99,,False,0.0,3
p15895009,E1678399,莫傑,MARC JACOBS,MARC JACOBS馬克雅克布太陽鏡20696208A549O,668,1350.0,4.9,682.0,,1,1,,0,2026-07-31 00:00:00,622.53,,False,0.0,3
p15894596,E1189997,凱特·絲蓓,KATE SPADE,KATE SPADE凱特·絲蓓太陽鏡 205498JBW56I4,638,1290.0,4.9,652.0,,1,1,1,0,2026-07-31 00:00:00,594.57,,False,0.0,3
p15894571,E1678356,凱特·絲蓓,KATE SPADE,KATE SPADE凱特·絲蓓太陽鏡2065435MU55HA,649,1320.0,4.9,671.0,,1,1,,0,2026-07-31 00:00:00,604.82,,False,0.0,3
p15894576,E1678354,凱特·絲蓓,KATE SPADE,KATE SPADE凱特·絲蓓太陽鏡 2065472OH57HA,649,1320.0,4.9,671.0,,1,1,,0,2026-07-31 00:00:00,604.82,,False,0.0,3
p15941555,F119372,BWB,BWB,BWB-大和菊之目 15ml,32,65.0,4.9,33.0,,10,10,28,0,2026-07-31 00:00:00,29.82,,False,0.0,3
p15894567,E1678345,莫傑,MARC JACOBS,MARC JACOBS馬克雅克布太陽鏡20695900353IR,878,1800.0,4.9,922.0,,1,1,,0,2026-07-31 00:00:00,818.23,,False,0.0,3
p15895011,E1591932,凱特·絲蓓,KATE SPADE,KATE SPADE凱特·絲蓓太陽鏡206542807579O,650,1320.0,4.9,670.0,,1,1,,0,2026-07-31 00:00:00,605.75,,False,0.0,3
p15890283,C116910,蔻依,Chloe,"Chloe""蔻依戀旅重返埃及女士香氛75ml",672,1374.0,4.9,702.0,,1,1,2,0,2026-07-31 00:00:00,626.25,,False,0.0,3
p15894565,E1678367,莫傑,MARC JACOBS,MARC JACOBS馬克雅克布太陽鏡206959WR7539K,878,1800.0,4.9,922.0,,1,1,,0,2026-07-31 00:00:00,818.23,,False,0.0,3
p15894567,E1678345,莫傑,MARC JACOBS,MARC JACOBS馬克雅克布太陽鏡20695900353IR,878,1800.0,4.9,922.0,,1,1,,0,2026-07-31 00:00:00,818.23,,False,0.0,3
p15894596,E1189997,凱特·絲蓓,KATE SPADE,KATE SPADE凱特·絲蓓太陽鏡 205498JBW56I4,638,1290.0,4.9,652.0,,1,1,1,0,2026-07-31 00:00:00,594.57,,False,0.0,3
p15894595,E1614797,寶麗萊,Polaroid,POLAROID寶麗來太陽鏡20633280755M9,343,690.0,5.0,347.0,,1,1,1,0,2026-07-31 00:00:00,319.65,,False,0.0,3
p15782320,C011713,倩碧,CLINIQUE,CLINIQUE 倩碧身體防曬乳SPF50／PA++++ 150ml【有效期至：2027年3月】,154,305.0,5.0,151.0,,3,3,11,0,2026-07-31 00:00:00,143.52,,False,0.0,3
p15793924,C103091,巴黎歐萊雅,L'OREAL PARIS,L'OREAL歐萊雅複顏玻尿酸眼霜 65ml,565,1130.0,5.0,565.0,,45,45,59,0,2026-07-31 00:00:00,526.54,,False,0.0,3
p15737378,C049498,芭比布朗,BOBBI BROWN,BOBBI BROWN芭比波朗炙戀精油唇蜜6號6 ml【有效期至：2027年3月】,123,245.0,5.0,122.0,,4,4,4,0,2026-07-31 00:00:00,114.63,,False,0.0,3
p15894593,E1591837,寶麗萊,Polaroid,POLAROID寶麗來太陽鏡205696B3V56LM,343,690.0,5.0,347.0,,1,1,1,0,2026-07-31 00:00:00,319.65,,False,0.0,3
p15881995,C116211,倩碧,CLINIQUE,Clinique美白祛斑精華露雙支裝 (100ml x 2)【有效期至：2027年4月】,1242,2475.0,5.0,1233.0,,9,9,36,0,2026-07-31 00:00:00,1157.45,,False,0.0,3
