product_id,activity_product_id,brand_id,brand,brand_en,name,category,subcategory,price,original_price,discount,stock,activity_stock,sell_num,activity_id,activity_type,catalog_id,sku
p15896479,504207769.0,12469,湯姆福特,TOM FORD,Tom Ford湯姆福特璀璨流光唇頰多用棒-02,3021,2213,257,395.0,6.5,1,1,1,500022953.0,3,c85739450,C118213
p15896498,504207770.0,12469,湯姆福特,TOM FORD,Tom Ford湯姆福特璀璨流光唇頰多用棒-06,3021,2213,257,395.0,6.5,1,1,,500022953.0,3,c85739473,C118221
p15885182,504207771.0,12469,湯姆福特,TOM FORD,TOM FORD 柔霧緞采唇膏 【細黑管】91 古銅橘紅3.3g,3016,2195,268,490.0,5.5,1,1,,500022953.0,3,c85725780,C105176
p15919473,504207772.0,12469,湯姆福特,TOM FORD,Tom Ford湯姆福特雪映流光香水50ml,3037,3204,819,1365.0,6.0,1,1,7,500022953.0,3,c85763428,C120299
p15876081,504207847.0,100064,自然堂,CHANDO,CHANDO自然堂金鑽淨采煥活鎏金潔顏蜜 200ml,3022,1088,157,346.0,4.5,1,1,4,500022953.0,3,c85714713,IN100502
p15875681,504207848.0,100064,自然堂,CHANDO,CHANDO自然堂雪肌追光煥白緊致乳液110ml*2支裝,3022,1100,318,704.0,4.5,1,1,2,500022953.0,3,c85715017,IN100496
p15942672,504207915.0,13157,巴黎歐萊雅,L'OREAL PARIS,L`oreal巴黎歐萊雅青春密碼密集肌能精華肌底液兩支裝100ml*2,3022,1096,438,1095.0,4.0,3,3,2,500022953.0,3,c85787333,C121500
p15872012,504208119.0,10169,歐舒丹,L'OCCITANE,L'OCCITANE歐舒丹甜扁桃味沐浴綿綿霜-200ML,3028,2269,113,205.0,5.5,1,1,41,500022953.0,3,c85708778,C111785
p15893907,504208116.0,31883,歐緹麗,CAUDALIE,Caudalie歐緹麗葡萄籽曬後修護乳-200ML,3022,1092,110,200.0,5.5,1,1,1,500022953.0,3,c85737236,C118045
p15893909,504208117.0,31883,歐緹麗,CAUDALIE,Caudalie歐緹麗葡萄籽曬後修護乳-400ML,3022,1092,149,270.0,5.5,1,1,3,500022953.0,3,c85736932,C118049
p15881533,504207778.0,10162,蘭蔻,LANCOME,LANCOME蘭蔻奇跡濃香氛 50ml,3037,2352,578,965.0,6.0,4,4,4,500022953.0,3,c85722240,C000278
p15743242,504207779.0,10162,蘭蔻,LANCOME,LANCOME蘭蔻空氣輕墊持妝輕透粉底盒（外盒）,3013,1141,59,100.0,5.9,1,1,,500022953.0,3,c85557138,C040275
p15887948,504207782.0,10120,伊麗莎白·雅頓,ELIZABETH ARDEN,Elizabeth Arden伊莉莎白雅頓香氛套裝(10ml + 15ml + 15ml),3037,1145,164,355.0,4.6,1,1,1,500022953.0,3,c85730513,C116162
p15735875,504207783.0,10120,伊麗莎白·雅頓,ELIZABETH ARDEN,Elizabeth Arden伊麗莎白雅頓鉑粹禦膚肌活露 140ml,3022,1090,350,636.0,5.5,1,1,4,500022953.0,3,c85547793,C031054
